donor_age,structure_name,structure_abbreviation,expression_level
0.3,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.8459
0.3,dorsolateral prefrontal cortex,DFC,5.6239
0.3,ventrolateral prefrontal cortex,VFC,4.9838
0.3,dorsolateral prefrontal cortex,DFC,6.7543
0.3,ventrolateral prefrontal cortex,VFC,6.6251
0.3,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.7052
0.8,dorsolateral prefrontal cortex,DFC,7.119
0.8,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.3547
1,dorsolateral prefrontal cortex,DFC,6.5323
1,ventrolateral prefrontal cortex,VFC,6.7617
1,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.2712
2,dorsolateral prefrontal cortex,DFC,2.9481
2,ventrolateral prefrontal cortex,VFC,2.8591
2,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,2.0082
3,ventrolateral prefrontal cortex,VFC,5.7843
3,dorsolateral prefrontal cortex,DFC,3.4363
3,ventrolateral prefrontal cortex,VFC,3.43
3,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,3.6535
4,dorsolateral prefrontal cortex,DFC,5.7572
4,ventrolateral prefrontal cortex,VFC,6.3811
8,dorsolateral prefrontal cortex,DFC,6.412
8,ventrolateral prefrontal cortex,VFC,6.5959
8,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.1397
8,dorsolateral prefrontal cortex,DFC,6.6862
8,ventrolateral prefrontal cortex,VFC,7.048
8,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.6427
11,dorsolateral prefrontal cortex,DFC,7.1918
11,ventrolateral prefrontal cortex,VFC,7.1592
11,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.9067
13,dorsolateral prefrontal cortex,DFC,5.9196
13,ventrolateral prefrontal cortex,VFC,6.0254
13,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,5.5013
18,dorsolateral prefrontal cortex,DFC,5.4426
18,ventrolateral prefrontal cortex,VFC,4.8065
18,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,3.7121
19,dorsolateral prefrontal cortex,DFC,6.1171
19,ventrolateral prefrontal cortex,VFC,6.046
19,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.3089
21,dorsolateral prefrontal cortex,DFC,6.5906
21,ventrolateral prefrontal cortex,VFC,6.7078
21,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.3652
23,ventrolateral prefrontal cortex,VFC,5.7735
23,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,5.8194
30,dorsolateral prefrontal cortex,DFC,6.287
30,ventrolateral prefrontal cortex,VFC,5.7585
30,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,5.8702
36,dorsolateral prefrontal cortex,DFC,6.1409
36,ventrolateral prefrontal cortex,VFC,5.7466
36,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,5.5936
37,dorsolateral prefrontal cortex,DFC,6.148
37,ventrolateral prefrontal cortex,VFC,5.9395
37,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.8565
40,dorsolateral prefrontal cortex,DFC,6.7184
40,ventrolateral prefrontal cortex,VFC,6.6352
